"No.","Time","Source","Destination","Protocol","Length","Info"
"346","19:27:21.656456","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"366","19:27:21.984731","10.107.135.158","180.250.13.34","DNS","91","Standard query 0x05b0 A steamusercontent-a.akamaihd.net"
"367","19:27:21.995620","180.250.13.34","10.107.135.158","DNS","210","Standard query response 0x05b0 A steamusercontent-a.akamaihd.net CNAME steamusercontent-a.akamaihd.net.edgesuite.net CNAME a323.dscb.akamai.net A 118.97.158.186 A 36.91.231.56"
"371","19:27:22.013832","10.107.135.158","118.98.44.50","DNS","102","Standard query 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"440","19:27:22.717374","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"457","19:27:22.937957","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x20b0 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"612","19:27:28.908989","10.107.135.158","180.250.13.34","DNS","83","Standard query 0xf911 A www.msftconnecttest.com"
"613","19:27:28.912964","180.250.13.34","10.107.135.158","DNS","219","Standard query response 0xf911 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"1239","19:27:54.557605","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"1255","19:27:54.882513","10.107.135.158","118.98.44.50","DNS","102","Standard query 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"1275","19:27:55.024977","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"1291","19:27:55.484191","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0x7644 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"1311","19:27:56.563015","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"1318","19:27:56.889194","10.107.135.158","118.98.44.50","DNS","102","Standard query 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"1336","19:27:57.810887","118.98.44.50","10.107.135.158","DNS","419","Standard query response 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.com NS ns1.amzndns.com NS ns1.amzndns.co.uk NS ns2.amzndns.org NS ns1.amzndns.net NS ns2.amzndns.co.uk NS ns1.amzndns.org NS ns2.amzndns.net"
"1348","19:27:57.928051","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0xa6b8 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"2201","19:28:28.956409","10.107.135.158","180.250.13.34","DNS","83","Standard query 0x09c7 A www.msftconnecttest.com"
"2202","19:28:28.961043","180.250.13.34","10.107.135.158","DNS","219","Standard query response 0x09c7 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"2247","19:28:30.850080","10.107.135.158","118.98.44.50","DNS","79","Standard query 0x50cd A accounts.google.com"
"2248","19:28:30.850634","10.107.135.158","118.98.44.50","DNS","79","Standard query 0x9658 HTTPS accounts.google.com"
"2250","19:28:30.853630","118.98.44.50","10.107.135.158","DNS","95","Standard query response 0x50cd A accounts.google.com A 142.251.10.84"
"2251","19:28:30.854353","118.98.44.50","10.107.135.158","DNS","129","Standard query response 0x9658 HTTPS accounts.google.com SOA ns1.google.com"
"2292","19:28:32.472816","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x9e39 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"2293","19:28:32.795329","10.107.135.158","118.98.44.50","DNS","102","Standard query 0x9e39 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"2309","19:28:33.356322","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x9e39 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"2323","19:28:33.511936","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0x9e39 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"3063","19:28:58.327110","10.107.135.158","118.98.44.50","DNS","75","Standard query 0x1049 A ssl.gstatic.com"
"3064","19:28:58.327407","10.107.135.158","118.98.44.50","DNS","75","Standard query 0xcb2a HTTPS ssl.gstatic.com"
"3065","19:28:58.336537","118.98.44.50","10.107.135.158","DNS","132","Standard query response 0xcb2a HTTPS ssl.gstatic.com SOA ns1.google.com"
"3066","19:28:58.336537","118.98.44.50","10.107.135.158","DNS","91","Standard query response 0x1049 A ssl.gstatic.com A 74.125.24.94"
"3159","19:28:58.993307","10.107.135.158","180.250.13.34","DNS","83","Standard query 0xaaba A www.msftconnecttest.com"
"3160","19:28:59.018655","180.250.13.34","10.107.135.158","DNS","219","Standard query response 0xaaba A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"3202","19:29:01.599970","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xfc57 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"3204","19:29:01.880828","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0xfc57 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"3296","19:29:08.300221","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xa6fb A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"3303","19:29:08.626404","10.107.135.158","118.98.44.50","DNS","102","Standard query 0xa6fb A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"3307","19:29:08.768218","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0xa6fb A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"3955","19:29:33.632639","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xf236 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"3982","19:29:33.957336","10.107.135.158","118.98.44.50","DNS","102","Standard query 0xf236 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"3997","19:29:34.214072","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0xf236 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns1.amzndns.co.uk NS ns1.amzndns.org NS ns1.amzndns.net NS ns2.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.com"
"4005","19:29:34.524005","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0xf236 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"4668","19:30:00.119114","10.107.135.158","180.250.13.34","DNS","83","Standard query 0xfda8 A www.msftconnecttest.com"
"4669","19:30:00.122408","180.250.13.34","10.107.135.158","DNS","219","Standard query response 0xfda8 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"4735","19:30:04.491043","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xbf37 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"4736","19:30:04.815171","10.107.135.158","118.98.44.50","DNS","102","Standard query 0xbf37 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"4737","19:30:05.271325","118.98.44.50","10.107.135.158","DNS","418","Standard query response 0xbf37 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"4742","19:30:05.333319","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0xbf37 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.co.uk NS ns1.amzndns.co.uk NS ns1.amzndns.com NS ns2.amzndns.org NS ns1.amzndns.net NS ns1.amzndns.org NS ns2.amzndns.net NS ns2.amzndns.com"
"4856","19:30:08.354072","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x76bd A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"4871","19:30:08.652973","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0x76bd A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"5304","19:30:25.929791","10.107.135.158","118.98.44.50","DNS","83","Standard query 0xe65b A www.msftconnecttest.com"
"5311","19:30:25.979991","118.98.44.50","10.107.135.158","DNS","219","Standard query response 0xe65b A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"5330","19:30:27.370697","10.107.135.158","180.250.13.34","DNS","102","Standard query 0xe447 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"5339","19:30:28.021464","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0xe447 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"5347","19:30:28.481122","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x7655 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"5361","19:30:29.054701","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x7655 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"5372","19:30:29.479332","10.107.135.158","118.98.44.50","DNS","76","Standard query 0x784e A mtalk.google.com"
"5374","19:30:29.488341","118.98.44.50","10.107.135.158","DNS","121","Standard query response 0x784e A mtalk.google.com CNAME mobile-gtalk.l.google.com A 172.217.194.188"
"5413","19:30:29.972238","10.107.135.158","118.98.44.50","DNS","76","Standard query 0x0b98 A mtalk.google.com"
"5426","19:30:30.040313","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x60c2 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net"
"5432","19:30:30.187698","118.98.44.50","10.107.135.158","DNS","121","Standard query response 0x0b98 A mtalk.google.com CNAME mobile-gtalk.l.google.com A 172.217.194.188"
"5472","19:30:30.568396","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x60c2 A ac-imhhyhb-shard-00-01.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-01.deakh.mongodb.net CNAME ec2-63-32-70-18.eu-west-1.compute.amazonaws.com A 63.32.70.18 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"5726","19:30:38.851299","10.107.135.158","118.98.44.50","DNS","85","Standard query 0x501f A widget-mediator.zopim.com"
"5727","19:30:38.851726","10.107.135.158","118.98.44.50","DNS","85","Standard query 0xd27f HTTPS widget-mediator.zopim.com"
"5728","19:30:38.930027","118.98.44.50","10.107.135.158","DNS","145","Standard query response 0xd27f HTTPS widget-mediator.zopim.com SOA foodmore.zopim.com"
"5729","19:30:38.939778","118.98.44.50","10.107.135.158","DNS","133","Standard query response 0x501f A widget-mediator.zopim.com A 52.76.176.34 A 18.141.250.42 A 18.140.10.182"
"6398","19:31:05.063941","10.107.135.158","118.98.44.50","DNS","74","Standard query 0xd4e4 A www.google.com"
"6399","19:31:05.064322","10.107.135.158","118.98.44.50","DNS","74","Standard query 0x08d2 HTTPS www.google.com"
"6404","19:31:05.077827","118.98.44.50","10.107.135.158","DNS","99","Standard query response 0x08d2 HTTPS www.google.com HTTPS"
"6405","19:31:05.077827","118.98.44.50","10.107.135.158","DNS","120","Standard query response 0xd4e4 A www.google.com CNAME forcesafesearch.google.com A 216.239.38.120"
"6718","19:31:10.299919","10.107.135.158","118.98.44.50","DNS","74","Standard query 0xe9d3 A ogs.google.com"
"6719","19:31:10.300280","10.107.135.158","118.98.44.50","DNS","74","Standard query 0x76e0 HTTPS ogs.google.com"
"6739","19:31:11.002532","10.107.135.158","118.98.44.50","DNS","74","Standard query 0x4952 A ogs.google.com"
"6740","19:31:11.003572","10.107.135.158","180.250.13.34","DNS","74","Standard query 0xb466 HTTPS ogs.google.com"
"6741","19:31:11.025508","118.98.44.50","10.107.135.158","DNS","191","Standard query response 0x4952 A ogs.google.com CNAME www3.l.google.com A 74.125.130.102 A 74.125.130.138 A 74.125.130.113 A 74.125.130.139 A 74.125.130.100 A 74.125.130.101"
"6742","19:31:11.025508","180.250.13.34","10.107.135.158","DNS","145","Standard query response 0xb466 HTTPS ogs.google.com CNAME www3.l.google.com SOA ns1.google.com"
"6820","19:31:12.789213","10.107.135.158","180.250.13.34","DNS","95","Standard query 0x97cf A optimizationguide-pa.googleapis.com"
"6821","19:31:12.789562","10.107.135.158","180.250.13.34","DNS","95","Standard query 0xdf0d HTTPS optimizationguide-pa.googleapis.com"
"6823","19:31:12.807314","180.250.13.34","10.107.135.158","DNS","239","Standard query response 0x97cf A optimizationguide-pa.googleapis.com A 74.125.24.95 A 142.250.4.95 A 142.251.10.95 A 142.251.12.95 A 172.217.194.95 A 74.125.200.95 A 74.125.130.95 A 74.125.68.95 A 172.253.118.95"
"6824","19:31:12.813594","180.250.13.34","10.107.135.158","DNS","152","Standard query response 0xdf0d HTTPS optimizationguide-pa.googleapis.com SOA ns1.google.com"
"7042","19:31:14.419752","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x2336 A safebrowsing.googleapis.com"
"7043","19:31:14.420057","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x3bd8 HTTPS safebrowsing.googleapis.com"
"7045","19:31:14.424815","180.250.13.34","10.107.135.158","DNS","103","Standard query response 0x2336 A safebrowsing.googleapis.com A 172.253.118.95"
"7046","19:31:14.427897","180.250.13.34","10.107.135.158","DNS","144","Standard query response 0x3bd8 HTTPS safebrowsing.googleapis.com SOA ns1.google.com"
"7364","19:31:15.716128","10.107.135.158","180.250.13.34","DNS","79","Standard query 0x15c4 A accounts.google.com"
"7369","19:31:15.717846","10.107.135.158","180.250.13.34","DNS","79","Standard query 0x1d1b HTTPS accounts.google.com"
"7410","19:31:15.892731","180.250.13.34","10.107.135.158","DNS","129","Standard query response 0x1d1b HTTPS accounts.google.com SOA ns1.google.com"
"7411","19:31:15.892731","180.250.13.34","10.107.135.158","DNS","95","Standard query response 0x15c4 A accounts.google.com A 172.253.118.84"
"7476","19:31:16.212099","10.107.135.158","180.250.13.34","DNS","75","Standard query 0xcc5e A play.google.com"
"7477","19:31:16.212403","10.107.135.158","180.250.13.34","DNS","75","Standard query 0x0c1e HTTPS play.google.com"
"7479","19:31:16.227598","180.250.13.34","10.107.135.158","DNS","171","Standard query response 0xcc5e A play.google.com A 172.217.194.101 A 172.217.194.102 A 172.217.194.139 A 172.217.194.113 A 172.217.194.138 A 172.217.194.100"
"7483","19:31:16.248383","180.250.13.34","10.107.135.158","DNS","125","Standard query response 0x0c1e HTTPS play.google.com SOA ns1.google.com"
"7594","19:31:16.811373","10.107.135.158","180.250.13.34","DNS","80","Standard query 0xa116 A adservice.google.com"
"7595","19:31:16.812463","10.107.135.158","180.250.13.34","DNS","80","Standard query 0xba32 HTTPS adservice.google.com"
"7597","19:31:16.815139","180.250.13.34","10.107.135.158","DNS","144","Standard query response 0xa116 A adservice.google.com A 142.251.12.157 A 142.251.12.155 A 142.251.12.156 A 142.251.12.154"
"7598","19:31:16.817063","180.250.13.34","10.107.135.158","DNS","105","Standard query response 0xba32 HTTPS adservice.google.com HTTPS"
"7693","19:31:18.230752","10.107.135.158","180.250.13.34","DNS","83","Standard query 0x2f09 A safebrowsing.google.com"
"7694","19:31:18.231180","10.107.135.158","180.250.13.34","DNS","83","Standard query 0x5106 HTTPS safebrowsing.google.com"
"7697","19:31:18.237762","180.250.13.34","10.107.135.158","DNS","166","Standard query response 0x2f09 A safebrowsing.google.com CNAME sb.l.google.com A 172.217.194.190 A 172.217.194.91 A 172.217.194.136 A 172.217.194.93"
"7698","19:31:18.240713","180.250.13.34","10.107.135.158","DNS","152","Standard query response 0x5106 HTTPS safebrowsing.google.com CNAME sb.l.google.com SOA ns1.google.com"
"7705","19:31:18.250328","10.107.135.158","180.250.13.34","DNS","75","Standard query 0x1bc6 A www.tableau.com"
"7706","19:31:18.250640","10.107.135.158","180.250.13.34","DNS","75","Standard query 0x519f HTTPS www.tableau.com"
"7747","19:31:18.545296","180.250.13.34","10.107.135.158","DNS","175","Standard query response 0x1bc6 A www.tableau.com CNAME globalcdn-www.tableau.com.edgekey.net CNAME e7843.a.akamaiedge.net A 23.32.119.34"
"7749","19:31:18.571916","180.250.13.34","10.107.135.158","DNS","217","Standard query response 0x519f HTTPS www.tableau.com CNAME globalcdn-www.tableau.com.edgekey.net CNAME e7843.a.akamaiedge.net SOA n0a.akamaiedge.net"
"7836","19:31:18.896271","10.107.135.158","180.250.13.34","DNS","78","Standard query 0x55ca A api.intellimize.co"
"7837","19:31:18.896794","10.107.135.158","180.250.13.34","DNS","78","Standard query 0xc42a HTTPS api.intellimize.co"
"7860","19:31:18.946823","10.107.135.158","180.250.13.34","DNS","74","Standard query 0x361f A fast.fonts.net"
"7861","19:31:18.947279","10.107.135.158","180.250.13.34","DNS","74","Standard query 0x3025 HTTPS fast.fonts.net"
"7878","19:31:18.964330","180.250.13.34","10.107.135.158","DNS","106","Standard query response 0x361f A fast.fonts.net A 104.17.224.78 A 104.17.225.78"
"7893","19:31:19.028881","180.250.13.34","10.107.135.158","DNS","144","Standard query response 0x3025 HTTPS fast.fonts.net HTTPS"
"7903","19:31:19.139224","180.250.13.34","10.107.135.158","DNS","266","Standard query response 0x55ca A api.intellimize.co A 54.79.10.251 A 3.106.155.233 A 13.238.213.41 NS ns-1204.awsdns-22.org NS ns-1650.awsdns-14.co.uk NS ns-331.awsdns-41.com NS ns-702.awsdns-23.net"
"7924","19:31:19.349045","180.250.13.34","10.107.135.158","DNS","159","Standard query response 0xc42a HTTPS api.intellimize.co SOA ns-331.awsdns-41.com"
"8315","19:31:20.949061","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x4f32 A 117259316.intellimizeio.com"
"8316","19:31:20.949430","10.107.135.158","180.250.13.34","DNS","87","Standard query 0xeade HTTPS 117259316.intellimizeio.com"
"8325","19:31:21.032545","10.107.135.158","180.250.13.34","DNS","78","Standard query 0xab40 A log.intellimize.co"
"8326","19:31:21.032929","10.107.135.158","180.250.13.34","DNS","78","Standard query 0xd8c9 HTTPS log.intellimize.co"
"8331","19:31:21.152948","180.250.13.34","10.107.135.158","DNS","272","Standard query response 0x4f32 A 117259316.intellimizeio.com A 13.237.167.166 A 52.64.232.159 A 54.253.240.228 NS ns-1481.awsdns-57.org NS ns-1974.awsdns-54.co.uk NS ns-441.awsdns-55.com NS ns-605.awsdns-11.net"
"8336","19:31:21.198459","180.250.13.34","10.107.135.158","DNS","266","Standard query response 0xab40 A log.intellimize.co A 35.155.135.106 A 52.32.71.222 A 44.236.135.61 NS ns-1204.awsdns-22.org NS ns-1650.awsdns-14.co.uk NS ns-331.awsdns-41.com NS ns-702.awsdns-23.net"
"8350","19:31:21.424751","10.107.135.158","180.250.13.34","DNS","91","Standard query 0x269c A steamusercontent-a.akamaihd.net"
"8358","19:31:21.429833","180.250.13.34","10.107.135.158","DNS","159","Standard query response 0xd8c9 HTTPS log.intellimize.co SOA ns-331.awsdns-41.com"
"8369","19:31:21.452453","180.250.13.34","10.107.135.158","DNS","210","Standard query response 0x269c A steamusercontent-a.akamaihd.net CNAME steamusercontent-a.akamaihd.net.edgesuite.net CNAME a323.dscb.akamai.net A 118.98.77.91 A 118.98.77.97"
"8386","19:31:21.552621","180.250.13.34","10.107.135.158","DNS","168","Standard query response 0xeade HTTPS 117259316.intellimizeio.com SOA ns-605.awsdns-11.net"
"8394","19:31:21.603243","10.107.135.158","180.250.13.34","DNS","78","Standard query 0xf2ce A public.tableau.com"
"8395","19:31:21.603603","10.107.135.158","180.250.13.34","DNS","78","Standard query 0x5af1 HTTPS public.tableau.com"
"8397","19:31:21.604584","10.107.135.158","180.250.13.34","DNS","72","Standard query 0x6288 A img.en25.com"
"8398","19:31:21.604826","10.107.135.158","180.250.13.34","DNS","72","Standard query 0x7ccf HTTPS img.en25.com"
"8415","19:31:21.630127","180.250.13.34","10.107.135.158","DNS","164","Standard query response 0x6288 A img.en25.com CNAME wildcard.en25.com.edgekey.net CNAME e5763.x.akamaiedge.net A 104.93.117.226"
"8449","19:31:21.796977","180.250.13.34","10.107.135.158","DNS","206","Standard query response 0x7ccf HTTPS img.en25.com CNAME wildcard.en25.com.edgekey.net CNAME e5763.x.akamaiedge.net SOA n0x.akamaiedge.net"
"8466","19:31:21.877645","10.107.135.158","180.250.13.34","DNS","80","Standard query 0xdc2f A adservice.google.com"
"8467","19:31:21.877988","10.107.135.158","180.250.13.34","DNS","80","Standard query 0xef00 HTTPS adservice.google.com"
"8468","19:31:21.884753","180.250.13.34","10.107.135.158","DNS","105","Standard query response 0xef00 HTTPS adservice.google.com HTTPS"
"8470","19:31:21.894479","180.250.13.34","10.107.135.158","DNS","144","Standard query response 0xdc2f A adservice.google.com A 142.251.12.157 A 142.251.12.155 A 142.251.12.156 A 142.251.12.154"
"8473","19:31:21.911736","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x5dc9 A googleads.g.doubleclick.net"
"8474","19:31:21.912646","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x7a10 HTTPS googleads.g.doubleclick.net"
"8475","19:31:21.918565","10.107.135.158","180.250.13.34","DNS","79","Standard query 0xc0da A script.crazyegg.com"
"8476","19:31:21.918854","10.107.135.158","180.250.13.34","DNS","79","Standard query 0x9aa8 HTTPS script.crazyegg.com"
"8477","19:31:21.944837","180.250.13.34","10.107.135.158","DNS","112","Standard query response 0x7a10 HTTPS googleads.g.doubleclick.net HTTPS"
